global_sentence_id,source_id,title,subdomain,paragraph_id,local_sentence_id,language,sentence,num_chars,num_devanagari_chars,num_latin_chars
SENT_0000001,DIAB_001,Diabetes,diabetes,1,1,en,Diabetes.,9,0,8
SENT_0000002,DIAB_001,Diabetes,diabetes,1,2,en,Nepali.,7,0,6
SENT_0000003,DIAB_001,Diabetes,diabetes,1,3,en,Diabetes मधुमेह Diabetes is a disease in which your body cannot properly use the food you eat for energy.,105,6,80
SENT_0000004,DIAB_001,Diabetes,diabetes,1,4,en,Your cells need energy to live and grow.,40,0,32
SENT_0000005,DIAB_001,Diabetes,diabetes,1,5,en,"When you eat, food breaks down into a form of energy called glucose.",68,0,54
SENT_0000006,DIAB_001,Diabetes,diabetes,1,6,en,Glucose is another word for sugar.,34,0,28
SENT_0000007,DIAB_001,Diabetes,diabetes,1,7,en,"The glucose goes into your blood, and your blood sugar rises.",61,0,49
SENT_0000008,DIAB_001,Diabetes,diabetes,1,8,en,Insulin is a hormone made by your pancreas.,43,0,35
SENT_0000009,DIAB_001,Diabetes,diabetes,1,9,en,"It helps glucose move from your blood into your cells, so your body can use it for energy.",90,0,71
SENT_0000010,DIAB_001,Diabetes,diabetes,1,10,en,People cannot live without insulin.,35,0,30
SENT_0000011,DIAB_001,Diabetes,diabetes,1,11,en,"Types of Diabetes • With type 1 diabetes, the pancreas makes no insulin.",72,0,56
SENT_0000012,DIAB_001,Diabetes,diabetes,1,12,en,"• With type 2 diabetes, the more common type, the pancreas does not make enough insulin, or your body is not able to use the insulin the pancreas makes.",152,0,118
SENT_0000013,DIAB_001,Diabetes,diabetes,1,13,en,"Without enough insulin, the glucose stays in your blood.",56,0,46
SENT_0000014,DIAB_001,Diabetes,diabetes,1,14,en,"• With diabetes during pregnancy, called gestational diabetes, the mother is not able to make enough insulin to cover the needs of both mother and baby.",152,0,123
SENT_0000015,DIAB_001,Diabetes,diabetes,1,15,en,"• With prediabetes, your glucose is higher than normal, but not high enough to be called diabetes.",98,0,78
SENT_0000016,DIAB_001,Diabetes,diabetes,1,16,en,"Prediabetes raises your risk for type 2 diabetes, heart disease, and stroke.",76,0,61
SENT_0000017,DIAB_001,Diabetes,diabetes,1,17,en,"The good news is that type 2 diabetes can be prevented or delayed with lifestyle changes, such as losing weight, eating healthy food, and being active.",151,0,121
